,Company,Title,joblinks
10,Stanford Black Limited,Data Engineer – Hedge Fund,https://www.linkedin.com/jobs/view/data-engineer-%E2%80%93-hedge-fund-at-stanford-black-limited-3563890259?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=K6iuUgjTcCiEjQIdSuI3Tg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,Stanford Black Limited,Hedge Fund – Principal Data Engineer,https://www.linkedin.com/jobs/view/hedge-fund-%E2%80%93-principal-data-engineer-at-stanford-black-limited-3563879176?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=pHsSXwTt6kO7ZnP0GJ41Tg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,Experfy,"Data Engineer, Database Engineering",https://www.linkedin.com/jobs/view/data-engineer-database-engineering-at-experfy-3516891520?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=atth66QHp%2BDmlb4Gs7EsBA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Jobot,(Senior) Cloud Engineer,https://www.linkedin.com/jobs/view/senior-cloud-engineer-at-jobot-3577120662?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=s9ORnDprb1ugOWtj9IpZUA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Volitiion IIT - Putting Intelligence in IT,Sr Application Cloud Engineer,https://www.linkedin.com/jobs/view/sr-application-cloud-engineer-at-volitiion-iit-putting-intelligence-in-it-3564949989?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=Sm2us8rwE2nNlZaKlQgAEw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Tek Leaders Inc,Java AWS Developer - Only W2 and Onsite,https://www.linkedin.com/jobs/view/java-aws-developer-only-w2-and-onsite-at-tek-leaders-inc-3579878578?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=4M%2FfmRZf5ENORYz3kX32MA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,IT Minds LLC,Azure APIM Engineer,https://www.linkedin.com/jobs/view/azure-apim-engineer-at-it-minds-llc-3562676230?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=RK5u9kw61AdtKSh%2BpcqHCQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,LTK (formerly rewardStyle & LIKEtoKNOW.it),"Staff Data Engineer, Real Time Analytics and Event Streaming",https://www.linkedin.com/jobs/view/staff-data-engineer-real-time-analytics-and-event-streaming-at-ltk-formerly-rewardstyle-liketoknow-it-3393079602?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=33u9xTKM%2BxEIiMvRITrd6w%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,IBU Consulting,"Senior Cloud Engineer (AWS and OCI)-Liverpool,NY",https://www.linkedin.com/jobs/view/senior-cloud-engineer-aws-and-oci-liverpool-ny-at-ibu-consulting-3555239508?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=QYIx%2BSKjk0MKkvMB8ToPcA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,CyberCoders,Salesforce Commerce Cloud Developer,https://www.linkedin.com/jobs/view/salesforce-commerce-cloud-developer-at-cybercoders-3512841663?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=C9d7cjixj6YQ677Th%2BMm5Q%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,New York State Insurance Fund (NYSIF),Data Analyst 1 (Multiple Positions),https://www.linkedin.com/jobs/view/data-analyst-1-multiple-positions-at-new-york-state-insurance-fund-nysif-3576125347?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=j6vb9q6PK3%2BGKZn6W4kfnQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,First Soft Solutions LLC,Azure Cloud Engineer,https://www.linkedin.com/jobs/view/azure-cloud-engineer-at-first-soft-solutions-llc-3424667683?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=uTD554WNw4qZzovCZmmoSA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,Echo IT Solutions,Azure Data Engineer,https://www.linkedin.com/jobs/view/azure-data-engineer-at-echo-it-solutions-3526749405?refId=97altx32cDKZcIVyyObj2g%3D%3D&trackingId=EIR8Xl5J8vvFBxvnUodc8Q%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
